,JJ Width (top electrode),X-Coordinate,Y-Coordinate,Conductance (2W) [uS]
4958,116,22.72,10.975,
4959,124,23.22,10.975,
4960,132,21.22,10.475,
4961,140,21.72,10.475,
4962,148,22.22,10.475,
4963,156,,,
4964,164,23.22,10.475,
4965,172,21.22,9.975,
4966,180,21.72,9.975,
4967,188,,,
4968,196,22.72,9.975,
4969,204,,,
4970,212,21.22,9.475,
4971,220,21.72,9.475,
4972,228,22.22,9.475,
4973,236,22.72,9.475,
4974,244,23.22,9.475,
4975,52,23.72,11.475,
4976,60,24.22,11.475,
4977,68,24.72,11.475,
4978,76,,,
4979,84,25.72,11.475,
4980,92,23.72,10.975,
4981,100,24.22,10.975,
4982,108,24.72,10.975,
4983,116,25.22,10.975,
4984,124,25.72,10.975,
4985,132,,,
4986,140,24.22,10.475,
4987,148,24.72,10.475,
4988,156,25.22,10.475,
4989,164,25.72,10.475,
4990,172,23.72,9.975,
4991,180,,,
4992,188,24.72,9.975,
4993,196,,,
4994,204,,,
4995,212,23.72,9.475,
4996,220,24.22,9.475,
4997,228,24.72,9.475,
4998,236,25.22,9.475,
4999,244,,,
0,52,,,
1,60,-25.02,8.395,
2,68,-24.52,8.395,
3,76,-24.02,8.395,
4,84,-23.52,8.395,
5,92,,,
6,100,,,
7,108,-24.52,7.895,
8,116,-24.02,7.895,
9,124,-23.52,7.895,
10,132,-25.52,7.395,
11,140,-25.02,7.395,
12,148,-24.52,7.395,
13,156,-24.02,7.395,
14,164,-23.52,7.395,
15,172,-25.52,6.895,
16,180,,,
17,188,-24.52,6.895,
18,196,-24.02,6.895,
19,204,,,
20,212,-25.52,6.395,
21,220,-25.02,6.395,
22,228,-24.52,6.395,
23,236,-24.02,6.395,
24,244,-23.52,6.395,
25,52,-23.02,8.395,
26,60,-22.52,8.395,
27,68,-22.02,8.395,
28,76,-21.52,8.395,
29,84,-21.02,8.395,
30,92,,,
31,100,-22.52,7.895,
32,108,,,
33,116,-21.52,7.895,
34,124,,,
35,132,-23.02,7.395,
36,140,,,
37,148,-22.02,7.395,
38,156,-21.52,7.395,
39,164,-21.02,7.395,
40,172,-23.02,6.895,
41,180,-22.52,6.895,
42,188,-22.02,6.895,
43,196,-21.52,6.895,
44,204,-21.02,6.895,
45,212,-23.02,6.395,
46,220,-22.52,6.395,
47,228,,,
48,236,-21.52,6.395,
49,244,-21.02,6.395,
50,52,-20.52,8.395,46.531374
51,60,-20.02,8.395,43.9542576
52,68,-19.52,8.395,58.1322698
53,76,-19.02,8.395,58.4941865
54,84,-18.52,8.395,52.2975369
55,92,-20.52,7.895,83.3070963
56,100,,,
57,108,-19.52,7.895,95.4488307
58,116,-19.02,7.895,103.300577
59,124,-18.52,7.895,93.8064468
60,132,-20.52,7.395,111.51294
61,140,-20.02,7.395,100.58759
62,148,-19.52,7.395,118.984486
63,156,-19.02,7.395,130.458244
64,164,-18.52,7.395,9.9E+40
65,172,-20.52,6.895,143.235664
66,180,-20.02,6.895,151.896881
67,188,-19.52,6.895,169.298323
68,196,-19.02,6.895,137.29941
69,204,-18.52,6.895,161.432515
70,212,,,
71,220,-20.02,6.395,167.104986
72,228,-19.52,6.395,194.107623
73,236,-19.02,6.395,200.273981
74,244,,,
75,52,-18.02,8.395,60.2648518
76,60,-17.52,8.395,45.4363924
77,68,-17.02,8.395,44.12391
78,76,-16.52,8.395,72.2467119
79,84,-16.02,8.395,63.4039826
80,92,-18.02,7.895,98.9472699
81,100,-17.52,7.895,81.8283055
82,108,-17.02,7.895,77.4552369
83,116,-16.52,7.895,100.797128
84,124,,,
85,132,-18.02,7.395,129.906287
86,140,-17.52,7.395,112.246033
87,148,-17.02,7.395,106.434338
88,156,-16.52,7.395,134.928587
89,164,-16.02,7.395,130.591531
90,172,-18.02,6.895,166.832001
91,180,-17.52,6.895,147.722812
92,188,-17.02,6.895,162.872998
93,196,-16.52,6.895,178.141108
94,204,,,
95,212,-18.02,6.395,199.667374
96,220,-17.52,6.395,180.267117
97,228,-17.02,6.395,196.630869
98,236,-16.52,6.395,241.647996
99,244,-16.02,6.395,9.9E+40
100,52,-15.52,8.395,
101,60,-15.02,8.395,
102,68,-14.52,8.395,
103,76,-14.02,8.395,
104,84,,,
105,92,-15.52,7.895,
106,100,,,
107,108,-14.52,7.895,
108,116,,,
109,124,,,
110,132,-15.52,7.395,
111,140,-15.02,7.395,
112,148,-14.52,7.395,
113,156,-14.02,7.395,
114,164,-13.52,7.395,
115,172,-15.52,6.895,
116,180,,,
117,188,-14.52,6.895,
118,196,-14.02,6.895,
119,204,-13.52,6.895,
120,212,,,
121,220,-15.02,6.395,
122,228,-14.52,6.395,
123,236,,,
124,244,-13.52,6.395,
125,52,-25.52,5.895,54.742851
126,60,-25.02,5.895,39.7185195
127,68,-24.52,5.895,36.8789261
128,76,-24.02,5.895,72.5255764
129,84,-23.52,5.895,9.9E+40
130,92,-25.52,5.395,94.5172879
131,100,-25.02,5.395,71.0107535
132,108,,,
133,116,-24.02,5.395,104.319812
134,124,-23.52,5.395,87.5190396
135,132,-25.52,4.895,127.819615
136,140,-25.02,4.895,115.303358
137,148,-24.52,4.895,116.827138
138,156,,,
139,164,-23.52,4.895,130.440106
140,172,-25.52,4.395,165.55392
141,180,-25.02,4.395,150.791207
142,188,-24.52,4.395,142.914197
143,196,-24.02,4.395,182.908028
144,204,-23.52,4.395,165.160797
145,212,-25.52,3.895,225.269827
146,220,,,
147,228,-24.52,3.895,186.098475
148,236,,,
149,244,-23.52,3.895,199.727391
150,52,-23.02,5.895,41.6808816
151,60,-22.52,5.895,60.9913696
152,68,-22.02,5.895,43.4631395
153,76,-21.52,5.895,58.1939183
154,84,-21.02,5.895,72.0113197
155,92,-23.02,5.395,82.4874065
156,100,-22.52,5.395,89.8676905
157,108,-22.02,5.395,78.887615
158,116,-21.52,5.395,90.3494935
159,124,-21.02,5.395,104.918272
160,132,-23.02,4.895,113.549865
161,140,-22.52,4.895,140.333743
162,148,-22.02,4.895,118.321929
163,156,-21.52,4.895,137.262392
164,164,,,
165,172,-23.02,4.395,148.750427
166,180,-22.52,4.395,166.496939
167,188,-22.02,4.395,134.420345
168,196,-21.52,4.395,158.525606
169,204,-21.02,4.395,176.543242
170,212,-23.02,3.895,193.705837
171,220,-22.52,3.895,217.724899
172,228,-22.02,3.895,175.993511
173,236,-21.52,3.895,188.1097
174,244,-21.02,3.895,217.174693
175,52,-20.52,5.895,42.9594674
176,60,-20.02,5.895,41.5856082
177,68,-19.52,5.895,51.8469482
178,76,-19.02,5.895,52.9452191
179,84,-18.52,5.895,60.2146103
180,92,,,
181,100,-20.02,5.395,70.2773387
182,108,-19.52,5.395,86.2128891
183,116,-19.02,5.395,82.7846994
184,124,-18.52,5.395,83.4155791
185,132,-20.52,4.895,117.966354
186,140,-20.02,4.895,109.893542
187,148,-19.52,4.895,135.555322
188,156,-19.02,4.895,125.478757
189,164,,,
190,172,-20.52,4.395,141.408015
191,180,-20.02,4.395,140.629225
192,188,-19.52,4.395,166.688976
193,196,-19.02,4.395,168.065164
194,204,-18.52,4.395,169.707735
195,212,-20.52,3.895,152.619061
196,220,-20.02,3.895,180.895507
197,228,-19.52,3.895,221.216425
198,236,-19.02,3.895,173.936945
199,244,-18.52,3.895,194.03698
200,52,-18.02,5.895,66.5077293
201,60,,,
202,68,-17.02,5.895,43.4040029
203,76,-16.52,5.895,76.1909472
204,84,-16.02,5.895,60.3111386
205,92,-18.02,5.395,83.8089096
206,100,-17.52,5.395,68.3955452
207,108,-17.02,5.395,73.7304999
208,116,-16.52,5.395,9.9E+40
209,124,-16.02,5.395,92.6293456
210,132,-18.02,4.895,121.094994
211,140,-17.52,4.895,110.51111
212,148,,,
213,156,-16.52,4.895,150.895004
214,164,-16.02,4.895,130.872657
215,172,-18.02,4.395,161.066793
216,180,-17.52,4.395,130.980924
217,188,-17.02,4.395,137.733227
218,196,-16.52,4.395,165.671984
219,204,-16.02,4.395,156.239502
220,212,-18.02,3.895,211.365048
221,220,-17.52,3.895,184.248586
222,228,,,
223,236,-16.52,3.895,251.640644
224,244,-16.02,3.895,185.925312
225,52,-15.52,5.895,
226,60,-15.02,5.895,
227,68,-14.52,5.895,
228,76,-14.02,5.895,
229,84,-13.52,5.895,
230,92,-15.52,5.395,
231,100,,,
232,108,-14.52,5.395,
233,116,,,
234,124,-13.52,5.395,
235,132,-15.52,4.895,
236,140,-15.02,4.895,
237,148,-14.52,4.895,
238,156,-14.02,4.895,
239,164,-13.52,4.895,
240,172,-15.52,4.395,
241,180,,,
242,188,-14.52,4.395,
243,196,,,
244,204,-13.52,4.395,
245,212,-15.52,3.895,
246,220,-15.02,3.895,
247,228,-14.52,3.895,
248,236,-14.02,3.895,
249,244,-13.52,3.895,
250,52,-25.52,3.395,59.8601716
251,60,-25.02,3.395,43.3799485
252,68,-24.52,3.395,38.7248561
253,76,-24.02,3.395,75.8344997
254,84,-23.52,3.395,61.4885408
255,92,-25.52,2.895,93.2515709
256,100,,,
257,108,-24.52,2.895,72.138577
258,116,-24.02,2.895,97.890345
259,124,-23.52,2.895,89.6096597
260,132,-25.52,2.395,127.896437
261,140,-25.02,2.395,107.251291
262,148,-24.52,2.395,117.225511
263,156,-24.02,2.395,9.9E+40
264,164,-23.52,2.395,120.480421
265,172,-25.52,1.895,177.027302
266,180,-25.02,1.895,144.691561
267,188,-24.52,1.895,147.402599
268,196,-24.02,1.895,183.466965
269,204,-23.52,1.895,172.662102
270,212,-25.52,1.395,213.274915
271,220,-25.02,1.395,172.332926
272,228,-24.52,1.395,167.821711
273,236,-24.02,1.395,228.572893
274,244,-23.52,1.395,190.519229
275,52,-23.02,3.395,49.8422007
276,60,,,
277,68,-22.02,3.395,51.7336805
278,76,-21.52,3.395,66.2054105
279,84,-21.02,3.395,101.857602
280,92,-23.02,2.895,74.6764559
281,100,-22.52,2.895,86.6202078
282,108,-22.02,2.895,72.7658284
283,116,-21.52,2.895,72.4007254
284,124,-21.02,2.895,94.5843648
285,132,-23.02,2.395,116.577902
286,140,-22.52,2.395,129.223062
287,148,-22.02,2.395,105.018656
288,156,-21.52,2.395,121.561785
289,164,-21.02,2.395,134.9768
290,172,,,
291,180,-22.52,1.895,157.159902
292,188,-22.02,1.895,147.982572
293,196,-21.52,1.895,158.838045
294,204,-21.02,1.895,181.316806
295,212,-23.02,1.395,167.59174
296,220,-22.52,1.395,204.689206
297,228,,,
298,236,-21.52,1.395,168.034089
299,244,-21.02,1.395,233.087231
300,52,-20.52,3.395,3.96226876
301,60,-20.02,3.395,37.5819179
302,68,-19.52,3.395,58.6460038
303,76,-19.02,3.395,61.7165905
304,84,-18.52,3.395,62.3817837
305,92,-20.52,2.895,64.2621462
306,100,-20.02,2.895,67.1147959
307,108,-19.52,2.895,90.8870105
308,116,-19.02,2.895,86.2567822
309,124,-18.52,2.895,82.0703544
310,132,-20.52,2.395,111.616531
311,140,-20.02,2.395,107.173894
312,148,-19.52,2.395,127.2706
313,156,-19.02,2.395,118.961461
314,164,-18.52,2.395,122.219803
315,172,-20.52,1.895,146.207828
316,180,-20.02,1.895,139.079115
317,188,-19.52,1.895,157.476443
318,196,-19.02,1.895,158.463993
319,204,-18.52,1.895,166.374489
320,212,-20.52,1.395,168.28096
321,220,-20.02,1.395,168.075458
322,228,-19.52,1.395,212.058005
323,236,-19.02,1.395,178.673318
324,244,-18.52,1.395,167.466504
325,52,,,
326,60,-17.52,3.395,52.481921
327,68,-17.02,3.395,45.4582997
328,76,-16.52,3.395,79.4052866
329,84,-16.02,3.395,63.7654468
330,92,-18.02,2.895,85.6816613
331,100,-17.52,2.895,74.0114527
332,108,,,
333,116,-16.52,2.895,103.599394
334,124,-16.02,2.895,94.870274
335,132,-18.02,2.395,124.686921
336,140,-17.52,2.395,100.564579
337,148,-17.02,2.395,111.426199
338,156,-16.52,2.395,133.495315
339,164,-16.02,2.395,124.003314
340,172,-18.02,1.895,173.580271
341,180,-17.52,1.895,150.54506
342,188,-17.02,1.895,150.273534
343,196,-16.52,1.895,191.267596
344,204,,,
345,212,-18.02,1.395,199.911259
346,220,-17.52,1.395,155.585138
347,228,-17.02,1.395,162.159592
348,236,-16.52,1.395,211.795561
349,244,-16.02,1.395,193.377831
350,52,-15.52,3.395,50.8331131
351,60,,,
352,68,-14.52,3.395,55.8299967
353,76,,,
354,84,-13.52,3.395,65.8854193
355,92,-15.52,2.895,80.6121534
356,100,-15.02,2.895,99.6872299
357,108,-14.52,2.895,74.4982477
358,116,-14.02,2.895,100.677055
359,124,-13.52,2.895,99.1705271
360,132,-15.52,2.395,112.635193
361,140,,,
362,148,-14.52,2.395,113.891675
363,156,-14.02,2.395,138.923451
364,164,-13.52,2.395,128.472522
365,172,-15.52,1.895,148.42615
366,180,-15.02,1.895,171.772443
367,188,-14.52,1.895,153.458998
368,196,-14.02,1.895,177.761255
369,204,-13.52,1.895,177.553579
370,212,-15.52,1.395,160.116644
371,220,-15.02,1.395,214.562649
372,228,-14.52,1.395,169.192281
373,236,-14.02,1.395,193.485208
374,244,-13.52,1.395,187.067873
375,52,-25.52,0.895,
376,60,,,
377,68,-24.52,0.895,
378,76,-24.02,0.895,
379,84,,,
380,92,-25.52,0.395,
381,100,-25.02,0.395,
382,108,-24.52,0.395,
383,116,-24.02,0.395,
384,124,-23.52,0.395,
385,132,-25.52,-0.105,
386,140,-25.02,-0.105,
387,148,,,
388,156,-24.02,-0.105,
389,164,-23.52,-0.105,
390,172,-25.52,-0.605,
391,180,-25.02,-0.605,
392,188,-24.52,-0.605,
393,196,,,
394,204,-23.52,-0.605,
395,212,-25.52,-1.105,
396,220,-25.02,-1.105,
397,228,,,
398,236,-24.02,-1.105,
399,244,-23.52,-1.105,
400,52,-23.02,0.895,44.9297576
401,60,-22.52,0.895,65.0749672
402,68,-22.02,0.895,56.4055056
403,76,-21.52,0.895,9.9E+40
404,84,-21.02,0.895,9.9E+40
405,92,-23.02,0.395,68.6979045
406,100,-22.52,0.395,85.9879278
407,108,,,
408,116,-21.52,0.395,79.7658706
409,124,-21.02,0.395,111.951469
410,132,,,
411,140,-22.52,-0.105,119.889439
412,148,-22.02,-0.105,104.138829
413,156,-21.52,-0.105,117.669431
414,164,-21.02,-0.105,148.196775
415,172,-23.02,-0.605,148.889426
416,180,-22.52,-0.605,165.380612
417,188,-22.02,-0.605,150.862142
418,196,,,
419,204,-21.02,-0.605,187.052588
420,212,-23.02,-1.105,172.79598
421,220,-22.52,-1.105,195.455066
422,228,-22.02,-1.105,178.605101
423,236,-21.52,-1.105,185.704348
424,244,-21.02,-1.105,207.699784
425,52,-20.52,0.895,41.975068
426,60,-20.02,0.895,52.0178481
427,68,-19.52,0.895,58.9147916
428,76,-19.02,0.895,59.1394839
429,84,-18.52,0.895,64.2323069
430,92,-20.52,0.395,76.9762253
431,100,-20.02,0.395,75.5074523
432,108,-19.52,0.395,81.9946234
433,116,-19.02,0.395,95.6183352
434,124,,,
435,132,,,
436,140,-20.02,-0.105,97.8649801
437,148,-19.52,-0.105,120.407135
438,156,-19.02,-0.105,123.800652
439,164,-18.52,-0.105,111.733958
440,172,,,
441,180,-20.02,-0.605,140.240034
442,188,-19.52,-0.605,173.420648
443,196,-19.02,-0.605,151.640515
444,204,-18.52,-0.605,158.825378
445,212,-20.52,-1.105,168.589828
446,220,-20.02,-1.105,169.573982
447,228,-19.52,-1.105,194.368955
448,236,-19.02,-1.105,197.085354
449,244,-18.52,-1.105,188.343592
450,52,-18.02,0.895,69.004685
451,60,-17.52,0.895,4.71585547
452,68,-17.02,0.895,39.5330954
453,76,,,
454,84,-16.02,0.895,56.5596142
455,92,-18.02,0.395,91.8528037
456,100,-17.52,0.395,75.0326408
457,108,-17.02,0.395,75.671048
458,116,-16.52,0.395,116.385141
459,124,,,
460,132,-18.02,-0.105,118.404884
461,140,-17.52,-0.105,100.791602
462,148,-17.02,-0.105,104.183318
463,156,-16.52,-0.105,138.301803
464,164,-16.02,-0.105,130.455193
465,172,,,
466,180,-17.52,-0.605,139.985487
467,188,-17.02,-0.605,152.163318
468,196,-16.52,-0.605,188.396264
469,204,-16.02,-0.605,143.606131
470,212,-18.02,-1.105,199.793295
471,220,-17.52,-1.105,176.963129
472,228,,,
473,236,-16.52,-1.105,226.623964
474,244,-16.02,-1.105,196.737516
475,52,-15.52,0.895,49.1812084
476,60,,,
477,68,-14.52,0.895,49.0417145
478,76,-14.02,0.895,64.7825237
479,84,-13.52,0.895,69.7641155
480,92,-15.52,0.395,74.1887859
481,100,-15.02,0.395,90.0988516
482,108,-14.52,0.395,81.5853766
483,116,-14.02,0.395,101.393595
484,124,-13.52,0.395,91.4440754
485,132,-15.52,-0.105,103.143115
486,140,-15.02,-0.105,127.784335
487,148,-14.52,-0.105,105.783519
488,156,-14.02,-0.105,128.372478
489,164,-13.52,-0.105,133.824763
490,172,-15.52,-0.605,140.219005
491,180,-15.02,-0.605,164.719917
492,188,-14.52,-0.605,142.088893
493,196,-14.02,-0.605,167.394168
494,204,-13.52,-0.605,148.583855
495,212,-15.52,-1.105,169.954208
496,220,-15.02,-1.105,198.444734
497,228,-14.52,-1.105,177.765629
498,236,-14.02,-1.105,217.064217
499,244,-13.52,-1.105,216.369804
500,52,-25.52,-1.605,
501,60,-25.02,-1.605,
502,68,-24.52,-1.605,
503,76,-24.02,-1.605,
504,84,-23.52,-1.605,
505,92,-25.52,-2.105,
506,100,-25.02,-2.105,
507,108,,,
508,116,,,
509,124,-23.52,-2.105,
510,132,-25.52,-2.605,
511,140,-25.02,-2.605,
512,148,-24.52,-2.605,
513,156,-24.02,-2.605,
514,164,,,
515,172,,,
516,180,,,
517,188,-24.52,-3.105,
518,196,-24.02,-3.105,
519,204,-23.52,-3.105,
520,212,,,
521,220,-25.02,-3.605,
522,228,-24.52,-3.605,
523,236,-24.02,-3.605,
524,244,-23.52,-3.605,
525,52,-23.02,-1.605,35.8542596
526,60,-22.52,-1.605,46.6277394
527,68,-22.02,-1.605,38.3475624
528,76,-21.52,-1.605,53.4465328
529,84,,,
530,92,-23.02,-2.105,80.8017097
531,100,-22.52,-2.105,84.5413326
532,108,-22.02,-2.105,9.9E+40
533,116,-21.52,-2.105,88.7329943
534,124,-21.02,-2.105,100.605882
535,132,-23.02,-2.605,105.88538
536,140,-22.52,-2.605,125.478384
537,148,-22.02,-2.605,111.545914
538,156,-21.52,-2.605,123.086461
539,164,-21.02,-2.605,138.077688
540,172,-23.02,-3.105,131.685796
541,180,-22.52,-3.105,158.67061
542,188,-22.02,-3.105,129.995743
543,196,-21.52,-3.105,145.15299
544,204,,,
545,212,-23.02,-3.605,165.667971
546,220,-22.52,-3.605,187.986418
547,228,-22.02,-3.605,155.186501
548,236,-21.52,-3.605,171.906852
549,244,-21.02,-3.605,217.690707
550,52,,,
551,60,-20.02,-1.605,36.1883163
552,68,-19.52,-1.605,50.8988311
553,76,-19.02,-1.605,53.5377539
554,84,-18.52,-1.605,56.3878968
555,92,-20.52,-2.105,79.8090468
556,100,-20.02,-2.105,79.3531232
557,108,-19.52,-2.105,97.4088967
558,116,-19.02,-2.105,97.0237233
559,124,-18.52,-2.105,112.497026
560,132,-20.52,-2.605,54.6350525
561,140,-20.02,-2.605,104.059773
562,148,-19.52,-2.605,123.039215
563,156,-19.02,-2.605,121.583484
564,164,-18.52,-2.605,121.009451
565,172,-20.52,-3.105,138.479656
566,180,-20.02,-3.105,131.623541
567,188,-19.52,-3.105,150.832855
568,196,-19.02,-3.105,146.839639
569,204,-18.52,-3.105,147.928078
570,212,-20.52,-3.605,151.555558
571,220,-20.02,-3.605,166.158899
572,228,-19.52,-3.605,201.527216
573,236,-19.02,-3.605,174.536636
574,244,-18.52,-3.605,196.145763
575,52,-18.02,-1.605,
576,60,-17.52,-1.605,
577,68,-17.02,-1.605,
578,76,-16.52,-1.605,
579,84,-16.02,-1.605,
580,92,-18.02,-2.105,
581,100,,,
582,108,-17.02,-2.105,
583,116,-16.52,-2.105,
584,124,-16.02,-2.105,
585,132,-18.02,-2.605,
586,140,-17.52,-2.605,
587,148,-17.02,-2.605,
588,156,,,
589,164,-16.02,-2.605,
590,172,-18.02,-3.105,
591,180,-17.52,-3.105,
592,188,,,
593,196,-16.52,-3.105,
594,204,,,
595,212,-18.02,-3.605,
596,220,-17.52,-3.605,
597,228,-17.02,-3.605,
598,236,-16.52,-3.605,
599,244,-16.02,-3.605,
600,52,-15.52,-1.605,
601,60,-15.02,-1.605,
602,68,-14.52,-1.605,
603,76,,,
604,84,-13.52,-1.605,
605,92,-15.52,-2.105,
606,100,-15.02,-2.105,
607,108,-14.52,-2.105,
608,116,-14.02,-2.105,
609,124,-13.52,-2.105,
610,132,,,
611,140,-15.02,-2.605,
612,148,-14.52,-2.605,
613,156,-14.02,-2.605,
614,164,-13.52,-2.605,
615,172,-15.52,-3.105,
616,180,,,
617,188,-14.52,-3.105,
618,196,,,
619,204,,,
620,212,-15.52,-3.605,
621,220,-15.02,-3.605,
622,228,-14.52,-3.605,
623,236,-14.02,-3.605,
624,244,,,
1250,52,,,
1251,60,-11.94,8.395,
1252,68,-11.44,8.395,
1253,76,-10.94,8.395,
1254,84,-10.44,8.395,
1255,92,,,
1256,100,,,
1257,108,-11.44,7.895,
1258,116,-10.94,7.895,
1259,124,-10.44,7.895,
1260,132,-12.44,7.395,
1261,140,-11.94,7.395,
1262,148,-11.44,7.395,
1263,156,-10.94,7.395,
1264,164,-10.44,7.395,
1265,172,-12.44,6.895,
1266,180,,,
1267,188,-11.44,6.895,
1268,196,-10.94,6.895,
1269,204,,,
1270,212,-12.44,6.395,
1271,220,-11.94,6.395,
1272,228,-11.44,6.395,
1273,236,-10.94,6.395,
1274,244,-10.44,6.395,
1275,52,-9.94,8.395,
1276,60,-9.44,8.395,
1277,68,-8.94,8.395,
1278,76,-8.44,8.395,
1279,84,-7.94,8.395,
1280,92,,,
1281,100,-9.44,7.895,
1282,108,,,
1283,116,-8.44,7.895,
1284,124,,,
1285,132,-9.94,7.395,
1286,140,,,
1287,148,-8.94,7.395,
1288,156,-8.44,7.395,
1289,164,-7.94,7.395,
1290,172,-9.94,6.895,
1291,180,-9.44,6.895,
1292,188,-8.94,6.895,
1293,196,-8.44,6.895,
1294,204,-7.94,6.895,
1295,212,-9.94,6.395,
1296,220,-9.44,6.395,
1297,228,,,
1298,236,-8.44,6.395,
1299,244,-7.94,6.395,
1300,52,-7.44,8.395,53.5289405
1301,60,-6.94,8.395,53.7864474
1302,68,-6.44,8.395,64.3590455
1303,76,-5.94,8.395,68.9576221
1304,84,-5.44,8.395,71.9735611
1305,92,-7.44,7.895,83.9051639
1306,100,,,
1307,108,-6.44,7.895,108.774509
1308,116,-5.94,7.895,100.847792
1309,124,-5.44,7.895,105.972163
1310,132,-7.44,7.395,130.444519
1311,140,-6.94,7.395,114.873683
1312,148,-6.44,7.395,124.312956
1313,156,-5.94,7.395,132.876579
1314,164,-5.44,7.395,9.9E+40
1315,172,-7.44,6.895,153.018003
1316,180,-6.94,6.895,152.137576
1317,188,-6.44,6.895,199.933442
1318,196,-5.94,6.895,162.089163
1319,204,-5.44,6.895,178.458371
1320,212,,,
1321,220,-6.94,6.395,197.151631
1322,228,-6.44,6.395,231.467255
1323,236,-5.94,6.395,217.640215
1324,244,,,
1325,52,-4.94,8.395,72.516532
1326,60,-4.44,8.395,52.780663
1327,68,-3.94,8.395,56.5285379
1328,76,-3.44,8.395,84.9099338
1329,84,-2.94,8.395,72.5755671
1330,92,-4.94,7.895,106.141263
1331,100,-4.44,7.895,92.9905898
1332,108,-3.94,7.895,88.5829746
1333,116,-3.44,7.895,126.808033
1334,124,,,
1335,132,-4.94,7.395,138.660302
1336,140,-4.44,7.395,114.559618
1337,148,-3.94,7.395,117.802038
1338,156,-3.44,7.395,154.141468
1339,164,-2.94,7.395,144.53486
1340,172,-4.94,6.895,175.88553
1341,180,-4.44,6.895,142.697988
1342,188,-3.94,6.895,166.08954
1343,196,-3.44,6.895,198.525167
1344,204,,,
1345,212,-4.94,6.395,223.076798
1346,220,-4.44,6.395,195.144757
1347,228,-3.94,6.395,195.127429
1348,236,-3.44,6.395,239.111569
1349,244,-2.94,6.395,207.503807
1350,52,-2.44,8.395,
1351,60,-1.94,8.395,
1352,68,-1.44,8.395,
1353,76,-0.94,8.395,
1354,84,,,
1355,92,-2.44,7.895,
1356,100,,,
1357,108,-1.44,7.895,
1358,116,,,
1359,124,,,
1360,132,-2.44,7.395,
1361,140,-1.94,7.395,
1362,148,-1.44,7.395,
1363,156,-0.94,7.395,
1364,164,-0.44,7.395,
1365,172,-2.44,6.895,
1366,180,,,
1367,188,-1.44,6.895,
1368,196,-0.94,6.895,
1369,204,-0.44,6.895,
1370,212,,,
1371,220,-1.94,6.395,
1372,228,-1.44,6.395,
1373,236,,,
1374,244,-0.44,6.395,
1375,52,-12.44,5.895,66.5057411
1376,60,-11.94,5.895,50.8776691
1377,68,-11.44,5.895,46.2729109
1378,76,-10.94,5.895,76.9894845
1379,84,-10.44,5.895,9.9E+40
1380,92,-12.44,5.395,94.1367827
1381,100,-11.94,5.395,79.5340146
1382,108,,,
1383,116,-10.94,5.395,102.759774
1384,124,-10.44,5.395,92.4554417
1385,132,-12.44,4.895,129.530989
1386,140,-11.94,4.895,114.400689
1387,148,-11.44,4.895,119.68057
1388,156,,,
1389,164,-10.44,4.895,132.968599
1390,172,-12.44,4.395,169.303551
1391,180,-11.94,4.395,149.271794
1392,188,-11.44,4.395,146.724991
1393,196,-10.94,4.395,169.091583
1394,204,-10.44,4.395,153.203036
1395,212,-12.44,3.895,218.724237
1396,220,,,
1397,228,-11.44,3.895,195.062803
1398,236,,,
1399,244,-10.44,3.895,172.423176
1400,52,-9.94,5.895,46.9696245
1401,60,-9.44,5.895,63.8529221
1402,68,-8.94,5.895,53.0762035
1403,76,-8.44,5.895,65.5470576
1404,84,-7.94,5.895,81.0817259
1405,92,-9.94,5.395,91.1138202
1406,100,-9.44,5.395,94.2709938
1407,108,-8.94,5.395,83.121312
1408,116,-8.44,5.395,95.4766886
1409,124,-7.94,5.395,108.75256
1410,132,-9.94,4.895,113.799791
1411,140,-9.44,4.895,135.926297
1412,148,-8.94,4.895,117.284926
1413,156,-8.44,4.895,149.635498
1414,164,,,
1415,172,-9.94,4.395,71.0166552
1416,180,-9.44,4.395,164.143052
1417,188,-8.94,4.395,140.024647
1418,196,-8.44,4.395,163.058597
1419,204,-7.94,4.395,183.136115
1420,212,-9.94,3.895,166.182246
1421,220,-9.44,3.895,203.590037
1422,228,-8.94,3.895,90.277888
1423,236,-8.44,3.895,211.270047
1424,244,-7.94,3.895,252.337036
1425,52,-7.44,5.895,50.4735403
1426,60,-6.94,5.895,52.1766073
1427,68,-6.44,5.895,68.5117844
1428,76,-5.94,5.895,67.0892792
1429,84,-5.44,5.895,65.2800089
1430,92,,,
1431,100,-6.94,5.395,89.9900801
1432,108,-6.44,5.395,105.073596
1433,116,-5.94,5.395,108.15472
1434,124,-5.44,5.395,101.664768
1435,132,-7.44,4.895,132.865661
1436,140,-6.94,4.895,124.518661
1437,148,-6.44,4.895,143.782188
1438,156,-5.94,4.895,75.665183
1439,164,,,
1440,172,-7.44,4.395,166.208932
1441,180,-6.94,4.395,163.775671
1442,188,-6.44,4.395,175.999454
1443,196,-5.94,4.395,178.318334
1444,204,-5.44,4.395,177.923812
1445,212,-7.44,3.895,175.605914
1446,220,-6.94,3.895,200.679862
1447,228,-6.44,3.895,232.14264
1448,236,-5.94,3.895,194.0939
1449,244,-5.44,3.895,213.577322
1450,52,-4.94,5.895,70.3049092
1451,60,,,
1452,68,-3.94,5.895,56.8627815
1453,76,-3.44,5.895,86.124952
1454,84,-2.94,5.895,3.96186829
