,JJ Width (top electrode),X-Coordinate,Y-Coordinate,Conductance (2W) [uS]
3701,60,8.64,11.475,
3702,68,9.14,11.475,
3703,76,9.64,11.475,
3704,84,10.14,11.475,
3705,92,8.14,10.975,
3706,100,,,
3707,108,9.14,10.975,
3708,116,9.64,10.975,
3709,124,10.14,10.975,
3710,132,8.14,10.475,
3711,140,8.64,10.475,
3712,148,9.14,10.475,
3713,156,,,
3714,164,10.14,10.475,
3715,172,8.14,9.975,
3716,180,8.64,9.975,
3717,188,,,
3718,196,9.64,9.975,
3719,204,,,
3720,212,8.14,9.475,
3721,220,8.64,9.475,
3722,228,9.14,9.475,
3723,236,9.64,9.475,
3724,244,10.14,9.475,
3725,52,10.64,11.475,
3726,60,11.14,11.475,
3727,68,11.64,11.475,
3728,76,,,
3729,84,12.64,11.475,
3730,92,10.64,10.975,
3731,100,11.14,10.975,
3732,108,11.64,10.975,
3733,116,12.14,10.975,
3734,124,12.64,10.975,
3735,132,,,
3736,140,11.14,10.475,
3737,148,11.64,10.475,
3738,156,12.14,10.475,
3739,164,12.64,10.475,
3740,172,10.64,9.975,
3741,180,,,
3742,188,11.64,9.975,
3743,196,,,
3744,204,,,
3745,212,10.64,9.475,
3746,220,11.14,9.475,
3747,228,11.64,9.475,
3748,236,12.14,9.475,
3749,244,,,
4375,52,,,
4376,60,14.22,21.475,
4377,68,14.72,21.475,
4378,76,15.22,21.475,
4379,84,15.72,21.475,
4380,92,,,
4381,100,,,
4382,108,14.72,20.975,
4383,116,15.22,20.975,
4384,124,15.72,20.975,
4385,132,13.72,20.475,
4386,140,14.22,20.475,
4387,148,14.72,20.475,
4388,156,15.22,20.475,
4389,164,15.72,20.475,
4390,172,13.72,19.975,
4391,180,,,
4392,188,14.72,19.975,
4393,196,15.22,19.975,
4394,204,,,
4395,212,13.72,19.475,
4396,220,14.22,19.475,
4397,228,14.72,19.475,
4398,236,15.22,19.475,
4399,244,15.72,19.475,
4400,52,16.22,21.475,
4401,60,16.72,21.475,
4402,68,17.22,21.475,
4403,76,17.72,21.475,
4404,84,18.22,21.475,
4405,92,,,
4406,100,16.72,20.975,
4407,108,,,
4408,116,17.72,20.975,
4409,124,,,
4410,132,16.22,20.475,
