Qi_dia_corr,Qi_no_corr,absQc,Qc_dia_corr,Ql,fr,theta0,phi0,phi0_err,Ql_err,absQc_err,fr_err,chi_square,Qi_no_corr_err,Qi_dia_corr_err,temp
11041.65859285365,11211.198240524387,49563.003873144255,53172.34886328575,9143.035078904399,5360090967.922192,2.7710193807552854,-0.37057327283450786,0.04623375163372681,613.0426259839129,2663.3289333946686,20205.25876218568,0.0016269388440874116,822.542918478028,802.4798659777023,0.0
10009.52337552261,10185.827178905634,44025.96156712829,47653.894311364515,8272.01695942412,5360109195.254382,2.7488663726350087,-0.39272628095478435,0.048430562346012535,499.4144442311369,1992.932272724441,21567.949874748065,0.0016285656026564137,688.8517078919448,671.3690068826628,0.0
12660.252844693658,12829.085590623989,57881.23160763151,61586.70169282857,10501.484137075191,5360085770.893246,2.7929382840202766,-0.3486543695695166,0.06235050413141816,837.7499395508112,3571.649299278192,22572.657172116145,0.0021370835977277108,1148.787134530803,1123.8256850445464,0.0
11306.76574246711,11479.046364234082,50165.795925450955,53744.57214657125,9341.503294320439,5360098168.6423,2.7746021228079916,-0.3669905307818017,0.04822719761400172,604.2238862268468,2379.383460516954,18832.528071144647,0.0015273260418102778,825.8331970210411,806.4690380317992,0.0
10699.73384366138,10874.19407862095,47454.35123045884,51089.60725545153,8846.91744703474,5360099865.721154,2.762080531446995,-0.37951212214279806,0.04710386646941577,572.6879504480838,2220.6213199704007,19209.45802628672,0.0015316608589543447,788.2713716745545,765.6101782350742,0.0
12494.236820358592,12723.567508319726,55991.10294396894,60911.028079048614,10367.605250577755,5360118620.735344,2.7369134019613135,-0.4046819238798243,0.05766909639292225,782.7050065605159,3218.017714623802,21168.871304541568,0.001966562828261731,1071.7568465049887,1046.2083799242137,0.0
11755.93684917041,11932.15260330771,54480.37494315919,58482.93579073877,9788.33620287021,5360111108.747039,2.769476962030384,-0.37211569155940943,0.030916468974251578,390.4438237861136,1669.0924451285348,12127.081306222317,0.0005615944170431007,526.46303951224,514.0325449244135,0.0
11545.249157012546,11722.504960545664,55808.247916508786,60209.105249402666,9687.622826176492,5360115893.627911,2.7568821394339027,-0.38471051415589047,0.02547182687046426,275.127533925627,1055.0399917113486,8956.01107323565,0.00025782735273824706,376.65159485899403,367.63773895031454,0.0
11684.823379340702,11869.665022721743,55673.215223961095,60135.04668894746,9783.746459032074,5360112509.698981,2.7539511057710317,-0.3876415478187615,0.026164722459046663,265.8849931827675,820.3790488515873,8398.55893563595,0.0001868667844096201,375.7712091598417,365.913822739321,0.0
11889.619769552815,12070.201086367188,56090.13434478896,60349.55883947118,9932.744553271184,5360113062.79181,2.763636459452907,-0.3779561941368865,0.02862284088992998,283.80038445816643,730.9740540359543,8727.114313990938,0.00015902938766968423,408.730928804107,399.1073636105787,0.0
12176.730436064547,12369.52240236551,56578.76254852684,60996.1026800904,10150.394188058246,5360114147.116286,2.7586789989197107,-0.38291365467008254,0.03141294880877955,300.24873448470277,724.8008401860812,9225.933592676774,0.00016062507893834166,435.7963782986325,422.2501500743839,0.0
12249.607457748798,12445.269876323711,56324.69752319764,60713.70729332357,10193.055019295753,5360114646.937442,2.759026496189709,-0.38256615740008426,0.03350850754762436,321.46216745221733,705.5823941840756,9631.562027332347,0.0001598235952282335,469.99901968641257,456.7078996878313,0.0
12345.226001604366,12543.876670842868,56188.130217876314,60552.65520185975,10254.567089237427,5360114489.564599,2.7595950288824618,-0.3819976247073314,0.032984703032399955,324.36145354199675,706.0073032626481,9456.723938720912,0.00016178439639556527,476.15232971760423,462.07036879719533,0.0
12517.599984719036,12725.92930496908,56326.190023310744,60805.29896540916,10380.609881749791,5360116258.7584915,2.75536549697459,-0.38622715661520274,0.032724962304437846,295.8678143513107,728.1754235962624,9455.711945666511,0.00017012460389114733,433.71540850915164,422.0585940293282,0.0
12496.92327735317,12703.02247252843,56111.52266108907,60520.311894541315,10358.070840221106,5360116084.855253,2.7575349475135242,-0.3840577060762689,0.03286762349358924,326.17923110166987,708.1765380040646,9360.08522909235,0.000165146729085497,481.0154238008958,465.77252120452476,0.0
12518.243078617284,12724.1823547388,56055.65075419499,60435.698683822215,10370.224671529235,5360116275.328239,2.7585332220226273,-0.383059431567166,0.03355968853788305,317.7026476934983,701.6139008111661,9527.930956646576,0.0001641916093076552,468.31970734827405,452.95871532305523,0.0
12556.115034447439,12764.940978009101,55949.90913270199,60349.18449839636,10393.6381532263,5360116486.286991,2.75740439899297,-0.38418825459682304,0.0328980733676475,337.73989233388295,695.3513638909243,9272.840104958701,0.00016259128644953056,500.3467671019912,484.6665498475603,0.0
12588.778349561508,12797.225882899953,56030.04516430163,60409.53804588573,10417.8058099226,5360116749.300578,2.758473837078175,-0.38311881651161783,0.03359687857615581,344.8762956869412,695.6715837186199,9425.966930832215,0.00016305702324049466,511.6563391323988,496.0614900051057,0.0
12619.983609892475,12828.469527999505,56219.91883240976,60607.87586674138,10445.073849423867,5360115933.415853,2.758734985090012,-0.3828576684997814,0.03467853568104509,358.52598924957954,700.9390611196441,9659.250620643958,0.00016494849314082485,532.3501862094028,516.6003910278583,0.0
12593.779810870536,12796.354227297563,56328.797823902096,60621.16651720929,10427.510519160875,5360111562.690995,2.7630211999243905,-0.3785714536654027,0.0356504849836098,431.31802343388006,688.792897862724,9835.491296568955,0.00015913302525471108,643.8752707118985,626.1114306466771,0.0
