Qi_dia_corr,Qi_no_corr,absQc,Qc_dia_corr,Ql,fr,theta0,phi0,phi0_err,Ql_err,absQc_err,fr_err,chi_square,Qi_no_corr_err,Qi_dia_corr_err,temp
71082118931239.17,71487177301019.72,423739165297968.25,438552374964974.2,61167822131729.75,-423102544118.6071,-2.589383760350769,0.26065072637178366,1.0093509095756356e+18,7.65700044001919e+45,7.116401775622102e+30,5.230192166705236e+29,0.007814558160224132,1.0458488776513543e+46,1.0340305438353666e+46,0.0
10320130810774.82,10332246122719.05,1057060307791681.2,1201345720857228.2,10232231081814.986,7145828987.688964,-3.1124959229465254,0.49515126617607846,84735920261657.6,3.273725865836966e+39,5.313307046581768e+28,8.130447983332637e+22,1.735055825903206e-05,3.338036770788511e+39,3.330213177339503e+39,0.0
8560738794735811.0,8564557826361767.0,1.8692001653439547e+18,2.0708210132498127e+18,8525494545506618.0,-158582440061.00003,-2.5256392796243783,0.44493825875555904,4.88730775849969e+19,7.365672763663062e+51,3.308303122022957e+36,7.919876594896591e+30,4.090196927173391e-06,7.433325500200303e+51,7.426697773127702e+51,0.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
